city,test_mse_mean,test_mse_median,test_mse_max,test_mse_min,test_mse_std,rrse_mean,rrse_median,rrse_max,rrse_min,rrse_std,correlation_mean,correlation_median,correlation_max,correlation_min,correlation_std,test_mse_denorm_mean,test_mse_denorm_median,test_mse_denorm_max,test_mse_denorm_min,test_mse_denorm_std,rrse_denorm_mean,rrse_denorm_median,rrse_denorm_max,rrse_denorm_min,rrse_denorm_std,correlation_denorm_mean,correlation_denorm_median,correlation_denorm_max,correlation_denorm_min,correlation_denorm_std
Augsburg,0.0170772455632686,0.0144883701577782,0.0272295828908681,0.0069416677579283,0.008943121122045424,0.430867228,0.40887064,0.56052715,0.2830141,0.1193763048106854,0.9805477662070098,0.98448218591312,0.9873791722592332,0.9685890901671794,0.007729218754509549,33205.79921875,28171.8671875,52946.484375,13497.705078125,17389.42594432949,0.430867208,0.40887058,0.56052715,0.28301406,0.11937631996009371,0.9805477665956961,0.984482185581862,0.987379172348232,0.9685890899509402,0.007729218580505942
Bern,0.028211659565567936,0.0266632419079542,0.0386295616626739,0.0214150846004486,0.007062025887396359,0.576833098,0.56419134,0.67909396,0.50562656,0.0712466175797836,0.9903287152821727,0.9951884293477034,0.9958815790281836,0.975303165527724,0.00875964660086072,54856.07890625,51845.2578125,75113.1328125,41640.49609375,13731.734766094978,0.576833094,0.56419134,0.67909396,0.5056265,0.07124662466050856,0.9903287155884156,0.9951884304968726,0.9958815792195462,0.9753031654685962,0.008759646783310739
Bordeaux,0.020385631515334016,0.01823265850543975,0.0362311378121376,0.0054653147235512,0.012789215105931008,0.4457391016666667,0.44151154000000004,0.6228511,0.24190833,0.153342610189357,0.989502058094697,0.9896860144887996,0.9934876404653716,0.9845813727334172,0.0033712254929871843,39638.78125,35452.439453125,70449.53125,10627.015625,24867.95061243598,0.4457391,0.44151156999999996,0.622851,0.24190833,0.15334258168166165,0.9895020578888077,0.9896860141383064,0.9934876402522544,0.9845813727133592,0.0033712252180996953
Bremen,0.009246541852397528,0.0080421911552548,0.0177618954330682,0.0036908695474267,0.005293882451221695,0.29813284428571424,0.2879943,0.42799768,0.1951017,0.08693650384694643,0.9857068804864342,0.9872104756360564,0.994746077218518,0.967766652110031,0.009550800746620377,17979.410993303572,15637.61328125,34537.06640625,7176.7001953125,10293.674210586149,0.29813283714285715,0.2879943,0.42799765,0.1951017,0.0869364991615491,0.9857068808176033,0.9872104761525125,0.994746077304718,0.9677666526276376,0.009550800612189981
Darmstadt,0.05499334633350369,0.0541470646858215,0.0654003173112869,0.040292490273714,0.009288803993741811,0.8112201583333333,0.807453475,0.8874069,0.6965382,0.0701563506305909,0.9773826531510518,0.9775398100555184,0.9795854377571754,0.9750673560831892,0.001959442559000648,106931.66015625,105286.10546875,127167.453125,78346.625,18061.586954998646,0.8112201833333333,0.80745355,0.8874069,0.6965382,0.07015634860673454,0.9773826533445796,0.9775398106123212,0.9795854367235188,0.9750673560554988,0.001959442199398469
Graz,0.007851885476460011,0.0075636710971593,0.0152244707569479,0.0022738338448107,0.004712487025577357,0.30512282333333335,0.31255254,0.44343284,0.1713705,0.09669828365340256,0.9907066115250114,0.9933628911781172,0.9956271099388986,0.9745938564401998,0.00661958577322727,15267.576226128473,14707.16015625,29603.177734375,4421.349609375,9163.181609301186,0.30512282222222226,0.31255254,0.4434328,0.1713705,0.09669827941514328,0.9907066116137341,0.9933628912379012,0.9956271099874512,0.9745938551870168,0.006619586087776106
Hamburg,0.049935289791652085,0.0549044646322727,0.0619244538247585,0.0293706692755222,0.012441445029663574,0.7604850342857142,0.80350703,0.8533299,0.58768255,0.10163130254586097,0.9747039121909978,0.9740606039375476,0.9821807760466594,0.9676819091500928,0.004441582787492217,97096.53125,106758.828125,120408.828125,57109.71875,24191.73169211424,0.7604850428571428,0.80350703,0.8533299,0.58768255,0.10163130973090408,0.9747039125217217,0.974060603066032,0.9821807749645723,0.9676819109379696,0.004441582004903063
Kassel,0.018465053157082585,0.0114818010479211,0.0420999713242054,0.0086501287296414,0.01218673094238612,0.4913754514285714,0.4037219,0.7730689,0.35041976,0.1553020440429538,0.986141677610132,0.9884056286564986,0.9919233352534592,0.9753629181198288,0.005950940734074561,35904.31919642857,22325.755859375,81861.1640625,16819.716796875,23696.452167644482,0.4913754257142857,0.4037219,0.77306885,0.35041973,0.15530203055116332,0.9861416773353476,0.98840562854053,0.9919233349366576,0.975362917727252,0.005950940892885721
London,0.022665988860858768,0.0196451991796493,0.0405333824455738,0.0156359057873487,0.007837284472898578,0.5350058722222222,0.5039007,0.72380763,0.4495503,0.08700393222321848,0.9596329375914132,0.9637427717855932,0.979703114082898,0.9380244017121562,0.014649037087844432,44072.81662326389,38199.05078125,78815.015625,30403.1953125,15239.184280931746,0.5350058722222222,0.5039007,0.72380763,0.4495503,0.08700393222321848,0.9596329382887439,0.9637427727455026,0.979703113318188,0.938024401631274,0.014649036721979954
Losangeles,0.024468226358294452,0.023617895320057848,0.0389987714588642,0.0168666262179613,0.006696192990365456,0.704989795,0.69809268,0.89705676,0.5899409,0.09353016890096802,0.9226142000659902,0.9260439259570303,0.9431947470961612,0.887319869174461,0.019802214599181564,47577.17421875,45923.751953125,75831.0546875,32796.26171875,13020.394309460195,0.704989776,0.69809268,0.8970567,0.5899409,0.09353013832098073,0.9226142004792685,0.9260439288368999,0.9431947469950452,0.8873198655172237,0.019802215023990877
